country,alc,years
Timor_Leste,0.1064646,66.89677
Togo,1.0114137,58.42831
Tonga,1.1001342,71.48373
Trinidad and Tobago,6.387876,70.53188
Tunisia,1.3130634,76.07588
Turkey,1.419528,75.38882
Turkmenistan,2.1647802,63.57362
Tuvalu,0.9936696,67.98926
Uganda,0.9581814,58.54477
Ukraine,8.6591208,70.85694
United Arab Emirates,2.7680796,76.63969
United Kingdom of Great Britain and Northern Ireland,9.581814,81.00252
United Republic of Tanzania,0.7629963,62.68134
United States of America,8.7123531,78.7946
Uruguay,6.565317,77.43123
Uzbekistan,2.3777094,69.20962
Vanuatu,0.887205,72.2857
Venezuela (Bolivarian Republic of),7.7364276,75.92431
Viet Nam,2.0228274,75.68709
Yemen,0.1064646,64.25762
Zambia,0.9759255,58.4628
Zimbabwe,1.5259926,58.72677
